"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*VANCOUVER INT'L A","BC"," 49°11'42.000"" N","123°10'55.000"" W","4.3 m","1108447","","YVR"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Extreme Daily Rainfall (mm)","68.3","64.2","49.3","44.5","35.2","47.6","45.2","55.8","91.6","85.0","65.0","89.4","",""
"Date (yyyy/dd)","1968/18","1982/13","1974/09","1946/10","1998/27","1992/29","1972/12","2010/31","2004/18","2003/16","1989/03","1972/25",""," "
"Extreme Daily Snowfall (cm)","29.7","28.6","25.9","3.8","0.0","0.0","0.0","0.0","0.0","2.0","22.1","41.0","",""
"Date (yyyy/dd)","1971/13","1990/15","1962/02","1981/12","1937/01","1937/01","1937/01","1937/01","1937/01","1991/28","1975/30","1996/29",""," "
"Extreme Daily Precipitation (mm)","68.3","64.2","49.3","44.5","35.2","47.6","45.2","55.8","91.6","85.0","65.0","89.4","",""
"Date (yyyy/dd)","1968/18","1982/13","1974/09","1946/10","1998/27","1992/29","1972/12","2010/31","2004/18","2003/16","1989/03","1972/25",""," "
"Extreme Snow Depth (cm)","61","32","33","3","0","0","0","0","0","1","23","48","",""
"Date (yyyy/dd)","1971/15","1990/16","1962/02","1972/09","1955/01","1955/01","1955/01","1955/01","1955/01","1989/14","2006/30","1964/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.1","0.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.52","1.5","3.4","A"
"> 0 °C","29.9","27.9","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.5","29.6","361.8","A"
"> 10 °C","4.9","7.3","16.7","26.1","30.9","30.0","31.0","31.0","30.0","28.6","11.9","2.7","251.2","A"
"> 20 °C","0.0","0.0","0.0","0.52","4.4","11.8","24.1","25.2","10.0","0.43","0.0","0.0","76.5","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.03","0.03","0.20","0.03","0.0","0.0","0.0","0.0","0.29","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","21.2","18.8","27.3","29.7","31.0","30.0","31.0","31.0","30.0","30.3","25.0","19.0","324.4","A"
"<= 2 °C","15.9","14.7","10.0","2.3","0.03","0.0","0.0","0.0","0.0","1.8","9.5","18.2","72.5","A"
"<= 0 °C","9.8","9.4","3.7","0.28","0.0","0.0","0.0","0.0","0.0","0.73","5.0","12.0","40.9","A"
"< -2 °C","5.9","4.5","0.97","0.03","0.0","0.0","0.0","0.0","0.0","0.17","2.3","6.5","20.5","A"
"< -10 °C","0.53","0.20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.31","0.55","1.6","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.4","14.7","17.5","14.8","13.2","11.5","6.3","6.7","8.3","15.4","19.9","18.4","165.1","A"
">= 5 mm","9.8","6.5","7.5","6.4","4.5","3.4","2.4","2.4","3.4","7.5","11.2","9.5","74.6","A"
">= 10 mm","5.8","3.5","3.6","2.8","2.1","1.7","1.3","1.3","1.4","4.4","7.0","5.9","40.8","A"
">= 25 mm","1.2","0.43","0.47","0.37","0.13","0.13","0.20","0.13","0.24","0.83","1.5","0.93","6.6","A"
"Days With Snowfall"
">= 0.2 cm","2.6","1.4","0.90","0.17","0.0","0.0","0.0","0.0","0.0","0.03","0.80","2.8","8.7","A"
">= 5 cm","0.73","0.43","0.20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.27","0.86","2.5","A"
">= 10 cm","0.30","0.13","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.52","1.0","A"
">= 25 cm","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.10","0.13","A"
"Days with Precipitation"
">= 0.2 mm","19.5","15.4","17.8","14.8","13.2","11.5","6.3","6.7","8.3","15.4","20.4","19.7","168.9","A"
">= 5 mm","10.7","7.0","7.8","6.5","4.5","3.4","2.4","2.4","3.4","7.5","11.4","10.4","77.4","A"
">= 10 mm","6.2","3.7","3.7","2.8","2.1","1.7","1.3","1.3","1.4","4.4","7.1","6.3","42.0","A"
">= 25 mm","1.3","0.43","0.47","0.37","0.13","0.13","0.20","0.13","0.24","0.83","1.5","1.1","6.8","A"
"Days with Snow Depth"
">= 1 cm","3.8","1.6","0.27","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.97","2.7","9.3","A"
">= 5 cm","2.3","0.87","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.40","1.6","5.2","A"
">= 10 cm","1.3","0.50","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.13","1.1","3.0","A"
">= 20 cm","0.20","0.10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.48","0.81","A"
"Wind"
"Speed (km/h)","11.9","11.7","13.2","13.0","12.5","12.4","12.3","11.6","11.2","11.7","12.9","12.2","12.2","A"
"Most Frequent Direction","E","E","E","E","E","E","E","E","E","E","E","E","E","A"
"Maximum Hourly Speed (km/h)","78.0","89.0","77.0","78.0","61.0","52.0","54.0","50.0","65.0","82.0","89.0","82.0","89.0",""
"Date (yyyy/dd)","2007/09","1960/20","1975/30","2010/08","1982/25","1979/06","2004/07","2002/14","2005/09","2003/28","1961/01","2001/14","1960/20"," "
"Direction of Maximum Hourly Speed","W","W","W","W","W","W","W","W","W","W","W","NW","W",""
"Maximum Gust Speed (km/h)","113.0","119.0","108.0","100.0","90.0","70.0","71.0","85.0","91.0","126.0","129.0","100.0","129.0",""
"Date (yyyy/dd)","2007/06","1961/21","1975/30","1961/03","1955/07","1992/02","1960/07","1980/17","1999/25","1962/13","1957/25","1957/23","1957/25"," "
"Direction of Maximum Gust","W","W","W","W","W","W","W","NW","NW","SE","W","SE","W",""
"Days with Winds >= 52 km/h","1.0","0.5","1.0","0.5","0.4","0.1","0.0","0.0","0.2","0.6","1.4","1.0","6.6","A"
"Days with Winds >= 63 km/h","0.2","0.1","0.3","0.2","0.1","0.0","0.0","0.0","0.1","0.1","0.3","0.3","1.8","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.1","0.0","0.0","0.0","0.0","0.5","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.8","6.3","24.3","22.3","2.4","0.0","0.0","0.0","56.2","A"
"Above 15 °C","0.0","0.0","0.0","0.1","8.4","36.2","93.2","93.6","25.3","0.5","0.0","0.0","257.3","A"
"Above 10 °C","0.8","0.4","2.2","19.8","91.4","169.8","246.7","247.8","146.8","35.6","4.2","0.3","965.7","A"
"Above 5 °C","30.7","32.0","67.2","132.6","243.0","319.8","401.7","402.8","296.6","165.3","63.5","21.6","2176.8","A"
"Above 0 °C","138.3","142.4","213.7","282.4","398.0","469.8","556.7","557.8","446.6","319.2","196.1","122.3","3843.3","A"
"Below 0 °C","10.2","3.8","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.1","4.6","11.5","30.5","A"
"Below 5 °C","57.6","34.5","8.8","0.3","0.0","0.0","0.0","0.0","0.0","1.3","22.0","65.8","190.2","A"
"Below 10 °C","182.7","144.1","98.8","37.4","3.4","0.0","0.0","0.0","0.1","26.5","112.8","199.5","805.3","A"
"Below 15 °C","336.9","284.9","251.6","167.7","75.4","16.4","1.5","0.8","28.7","146.4","258.5","354.2","1923.0","A"
"Below 18 °C","429.9","369.6","344.6","257.7","160.8","76.6","25.6","22.5","95.8","238.9","348.5","447.2","2817.6","A"
"Bright Sunshine"
"Total Hours","60.1","91.0","134.8","185.0","222.5","226.9","289.8","277.1","212.8","120.7","60.4","56.5","1937.5","D"
"Days with measurable","17.6","19.9","25.3","26.5","28.3","27.7","29.1","29.4","28.1","23.2","17.7","16.4","289.1","D"
"% of possible daylight hours","22.3","31.8","36.6","45.0","46.9","46.8","59.3","62.1","56.1","36.0","21.9","22.0","40.6","D"
"Extreme Daily","9.1","10.5","11.8","14.1","15.0","15.7","15.4","14.7","13.0","10.5","9.4","8.1","",""
"Date (yyyy/dd)","1996/30","1962/25","1998/28","1989/30","1993/24","1989/23","1996/07","1987/02","1972/01","1971/16","1995/01","1972/07",""," "
"Humidex"
"Extreme Humidex","17.2","18.0","20.3","23.9","33.7","33.9","38.3","35.9","33.0","27.2","21.1","16.1","",""
"Date (yyyy/dd)","1981/21","1986/27","2004/29","1957/30","1983/29","1969/18","2009/30","1990/12","1987/01","1991/11","1980/04","2005/24",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.1","0.6","2.3","1.8","0.2","0.0","0.0","0.0","5.0","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","0.0","0.0","0.0","0.0","0.2","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Wind Chill"
"Extreme Wind Chill","-22.6","-21.2","-14.5","-5.4","0.0","0.0","0.0","0.0","0.0","-11.4","-21.3","-27.8","",""
"Date (yyyy/dd)","1969/23","1956/15","1955/04","1976/02","1953/01","1953/01","1953/01","1953/01","1953/01","1984/31","1985/27","1964/16",""," "
"Days with Wind Chill < -20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","A"
"Days with Wind Chill < -30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Wind Chill < -40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.7","0.7","0.8","0.9","1.1","1.3","1.5","1.5","1.3","1.1","0.8","0.7","1.0","A"
"Average Relative Humidity - 0600LST (%)","89.1","86.7","85.6","84.0","82.8","81.3","81.9","84.5","88.5","89.2","88.6","88.6","85.9","A"
"Average Relative Humidity - 1500LST (%)","81.2","74.5","70.1","65.4","63.5","62.2","61.4","61.8","67.2","75.6","79.5","80.9","70.3","A"
"Pressure"
"Average Station Pressure (kPa)","101.7","101.7","101.6","101.6","101.6","101.6","101.7","101.6","101.7","101.7","101.6","101.7","101.6","A"
"Average Sea Level Pressure (kPa)","101.7","101.7","101.6","101.7","101.7","101.7","101.7","101.7","101.7","101.8","101.6","101.7","101.7","A"
"Visibility (hours with)"
"< 1 km","29.6","9.2","2.9","0.2","0.2","0.1","0.1","0.2","2.6","16.4","11.8","24.1","97.3","C"
"1 to 9 km","99.0","52.3","33.9","21.6","14.6","12.6","10.0","11.1","30.1","83.7","71.1","90.0","529.9","C"
"> 9 km","615.4","615.2","707.2","698.2","729.2","707.3","734.0","732.8","687.3","643.9","637.1","629.9","8137.4","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","92.8","114.0","124.1","130.6","155.2","143.8","273.8","288.9","252.2","154.5","93.6","99.2","1922.5","C"
"3 to 7 tenths","90.9","108.5","131.0","152.3","174.2","172.0","177.5","184.8","176.2","136.4","104.2","101.9","1709.9","C"
"8 to 10 tenths","560.3","454.0","488.9","437.2","414.7","404.2","292.8","270.3","291.7","453.2","522.2","542.9","5132.2","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","March     18","A"
"Average Date of First Fall Frost","November  10","A"
"Average Length of Frost-Free Period","237 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Apr 21","Apr 06","Apr 01","Mar 27","Mar 22","Mar 16","Mar 04"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Oct 16","Oct 27","Oct 31","Nov 05","Nov 11","Nov 13","Nov 25"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","189","209","214","224","233","238","249"
