city,number,lat,lon
Salzgitter,1375,52.15,10.36
Zeitz,1371,51.05,12.13
Koblenz,1359,50.35,7.59
Heilbronn,1341,49.14,9.22
Adana,1340,37.00,35.33
MŸhlhausen/ThŸringen,1340,51.21,10.46
Mšnchengladbach,1335,51.19,6.44
Krefeld,1333,51.33,6.56
Woltersdorf (bei Berlin),1326,52.73,13.57
Bafra,1322,41.48,35.83
Naumburg (Saale),1317,51.15,11.81
Erzincan,1290,39.75,39.49
Regensburg,1286,49.02,12.10
Pforzheim,1285,48.89,8.70
Karaganda,1284,49.82,73.10
Pirna,1266,50.96,13.94
Gdingen,1248,54.52,18.54
Ludwigslust,1247,53.33,11.50
Kairo,1242,30.05,31.24
Nghe An,1231,19.41,104.68
Siegen,1225,50.87,8.02
Wei§enfels,1220,51.20,11.97
Sangerhausen,1211,51.47,11.30
Parchim,1209,53.43,11.85
Bergisch Gladbach,1206,50.99,7.13
Lšbau,1205,51.09,14.67
Buenos Aires,1199,-34.61,-58.45
Elsterwerda,1197,51.46,13.52
Offenbach am Main,1195,50.09,8.77
Gleiwitz/Oberschlesien,1177,39.78,-100.45
Plovdiv,1176,42.14,24.75
Igdir,1172,39.92,44.05
Fulda,1169,50.55,9.68
Schšnebeck (Elbe),1169,52.02,11.74
AngermŸnde,1166,53.02,14.00
Birecik,1161,37.05,38.08
Herne,1161,51.54,7.22
FŸrstenwalde/Spree,1154,52.36,14.06
Detmold,1143,51.94,8.88
Dnepropetrowsk,1143,39.78,-100.45
Beeskow,1139,52.17,14.25
Torgau,1139,51.56,13.00
Lima,1135,-12.00,-76.83
Kattowitz,1134,50.26,19.02
Dobrich,1131,43.67,27.91
Recklinghausen,1129,51.61,7.20
S‹o Paulo,1129,-21.95,-49.02
Hameln,1123,52.10,9.36
Kleinmachnow,1119,52.41,13.22
Bangkok,1117,13.59,100.42
Baku,1115,40.39,49.85
Bamberg,1115,49.89,10.89
Meiningen,1112,50.57,10.43
Konstanz,1106,47.66,9.18
Prag,1099,50.09,14.42
Ludwigshafen am Rhein,1095,49.49,8.39
Tuzla,1093,44.54,18.68
Zielona G—ra,1090,51.94,15.50
NeumŸnster,1077,54.07,9.99
Herford,1073,52.12,8.67
Thessaloniki,1063,40.64,22.94
WolfenbŸttel,1063,52.16,10.53
Hamm,1062,51.66,7.82
Minden,1062,52.29,8.92
Zagreb,1060,45.81,15.98
Varto,1058,39.20,41.40
Omsk,1053,54.99,73.37
Falkensee,1045,52.57,13.09
Antakya,1038,36.22,36.17
Mailand,1036,45.47,9.19
Tetovo,1033,42.01,20.97
Bogota,1028,4.60,-74.08
Accra,1016,5.56,-0.21
Gardelegen,1015,52.53,11.39
Helmstedt,1012,52.23,11.01
Qu_ng B“nh,1012,17.57,106.21
Homs,1010,34.73,36.72
Neapel,1008,40.84,14.25
Kelkit,1006,40.13,39.43
Schweinfurt,1004,50.05,10.23
Freital,1000,51.02,13.65
Mus,990,42.61,-2.23
Zerbst/Anhalt,987,51.96,12.09
ZŸrich,984,47.37,8.54
Annaberg-Buchholz,983,50.58,13.01
Corum,980,40.55,34.96
Bydgoszcz,974,53.13,18.01
Malchin,963,53.74,12.76
Starnberg,955,48.00,11.35
Bad Schlema,949,50.60,12.67
Hagenow,948,53.43,11.19
Saalfeld/Saale,943,50.64,11.35
MŸlheim an der Ruhr,939,51.43,6.88
Pri_tina,936,42.66,21.16
Greiz,934,50.66,12.20
Dublin,928,53.35,-6.26
Rudolstadt,925,50.72,11.34
GŸtersloh,924,51.91,8.38
Bayburt,913,40.26,40.22
Bergen,909,60.39,5.33
Reutlingen,909,48.49,9.21
Kaiserslautern,904,49.44,7.77
Razgrad,899,43.53,26.52
Borna,897,51.12,12.50
Skopje,893,42.00,21.43
Hohen Neuendorf,892,52.67,13.28
Osterburg (Altmark),888,52.79,11.75
Wittenberge,888,53.00,11.75
Stargard in Pommern,879,53.97,18.53
Radebeul,877,51.10,13.68
Sta§furt,875,51.85,11.59
Tokio,875,35.69,139.51
Minsk,874,53.90,27.56
Neuss,871,51.20,6.69
Rendsburg,871,54.30,9.66
Ludwigsburg,869,48.90,9.19
LŸdenscheid,862,51.22,7.64
Goslar,859,51.91,10.43
Teterow,857,53.77,12.58
Gro§enhain,855,51.29,13.53
Leverkusen,855,51.03,6.99
Belgrad,854,44.82,20.46
Haiphong,852,20.86,106.67
Ilmenau,850,50.69,10.91
Hongkong,848,22.28,114.16
Hanau,847,50.13,8.92
Solingen,847,51.17,7.08
Bayreuth,840,49.94,11.58
Shanghai,840,31.23,121.49
Aschaffenburg,838,49.97,9.15
Filderstadt,838,48.66,9.22
Stade,829,53.60,9.48
Graz,828,47.07,15.44
JŸterbog,824,52.00,13.08
Krakau,823,50.06,19.94
Arnstadt,821,50.83,10.95
Hindenburg,818,53.09,13.46
Tiflis,815,41.69,44.80
Bad Freienwalde (Oder),811,52.79,14.04
Coburg,810,50.26,10.96
Tunis,810,33.84,9.40
Haldensleben,809,52.29,11.41
Zhejiang,809,29.00,120.00
Saida,807,33.57,35.37
Eisleben,806,51.51,11.55
Delmenhorst,800,53.05,8.63
Havelberg,798,52.83,12.07
Nis,798,43.32,21.90
Gifhorn,788,52.48,10.54
Peine,787,52.32,10.23
Tel Aviv-Jaffa,783,32.08,34.78
Cuxhaven,770,53.87,8.70
Bad Muskau,764,51.55,14.72
Beuthen an der Oder,760,51.73,15.82
Luckau,760,51.85,13.72
Wurzen,755,51.37,12.74
Eutin,752,54.14,10.62
Rio de Janeiro,752,-22.28,-42.42
Almaty,749,43.22,76.92
Gdansk,749,54.35,18.65
Herdecke,749,51.40,7.43
Lšrrach,747,47.61,7.66
Uelzen,742,52.97,10.56
Seelow,741,52.53,14.38
Zrenjanin,741,45.38,20.39
Schleswig,739,54.52,9.57
Charkow,735,49.99,36.23
Lissabon,734,38.71,-9.14
Jerusalem,732,31.78,35.23
Nowosibirsk,732,55.03,82.92
Taschkent,730,41.31,69.28
Baden-Baden,723,48.76,8.24
Treuenbrietzen,722,52.10,12.87
Remscheid,721,51.18,7.19
Apolda,719,51.02,11.51
Mexiko-Stadt,715,19.43,-99.13
Dšbeln,709,51.12,13.12
KŸhlungsborn,707,54.14,11.75
Ulaanbaatar,706,47.95,106.97
Pazardzhik,704,42.12,24.17
Bad Kreuznach,701,49.85,7.86
Eckernfšrde,699,54.47,9.84
Rodewisch,698,50.53,12.40
Burgas,695,42.49,27.46
Crivitz,693,53.58,11.65
Nordhorn,693,52.44,7.07
Peking,692,39.91,116.39
Esslingen am Neckar,684,48.74,9.31
Grosny,684,43.33,45.68
RŠckelwitz,684,51.26,14.22
Villingen-Schwenningen,676,48.06,8.49
LŸbz,674,53.46,12.03
Carsamba,671,41.20,36.73
Iserlohn,670,51.37,7.70
Husum,669,54.49,9.05
Blankenburg (Harz),668,51.79,10.95
Itzehoe,668,53.93,9.52
Liegnitz/Schlesien,666,39.78,-100.45
Reichenbach im Vogtland,664,50.62,12.33
Speyer,664,49.32,8.43
Buftea,663,44.56,25.95
Wittenberg,660,51.92,12.64
Caracas,659,10.51,-66.91
El Bass,657,33.27,35.21
Valencia,657,39.68,-0.77
Sarajevo,654,43.85,18.39
Bad Salzungen,650,50.81,10.23
Novi Pazar,649,43.14,20.51
GrevesmŸhlen,647,53.86,11.19
Hˆ Tinh,647,18.35,105.90
Amsterdam,645,52.37,4.90
Lippstadt,644,51.67,8.35
Ršbel/MŸritz,642,53.38,12.61
Ratibor,641,50.09,18.22
Hof,640,50.32,11.92
Worms,640,49.66,8.32
Basel,639,47.56,7.59
Gšppingen,638,48.71,9.66
Neuwied,638,50.43,7.47
Bottrop,637,51.52,6.93
Eleskirt,628,39.83,42.61
Jiangsu,628,33.00,120.00
Herat,625,34.35,62.22
Allenstein/Ostpreussen,624,39.78,-100.45
Frankenberg (Eder),624,51.06,8.79
Halfeti,623,37.30,37.99
Sour,622,31.11,-7.60
Leer (Ostfriesland),621,53.23,7.46
Jakarta,620,-6.18,106.83
Ravensburg,619,47.78,9.61
Santiago,617,-33.44,-70.65
Stolp/Pommern,616,54.46,17.03
Oschatz,606,51.30,13.11
Sondershausen,605,51.37,10.87
FŸrth,603,49.48,10.99
Haifa,599,32.82,35.00
Ribnitz-Damgarten,599,54.24,12.43
Siegburg,597,50.80,7.21
Wei§wasser,597,51.57,10.07
Lutherstadt Eisleben,595,51.53,11.55
Friedrichshafen,594,47.65,9.48
Northeim,594,51.71,10.00
Sšmmerda,591,51.16,11.12
Eilenburg,590,51.46,12.63
Stollberg/Erzgeb.,588,50.71,12.78
Witten,587,51.44,7.34
Henstedt-Ulzburg,586,53.79,9.98
Hildburghausen,586,50.43,10.73
Neunkirchen (Saar),585,49.35,7.18
Unna,585,51.53,7.69
Hai Duong,584,-3.18,37.19
Graudenz,583,53.47,18.77
Landshut,583,48.54,12.15
Aksaray,582,38.37,34.03
Leisnig,580,51.16,12.93
Lagos,579,20.02,103.38
Sivas,579,39.75,37.01
Offenburg,578,48.47,7.94
SchwŠbisch Hall,578,49.11,9.74
Bad Hersfeld,577,50.87,9.71
Kopenhagen,577,55.69,12.57
Bšblingen,574,48.68,9.01
Lemgo,574,52.03,8.90
Waiblingen,571,48.83,9.32
Saarlouis,569,49.32,6.75
Dachau,567,48.26,11.44
Genthin,557,52.41,12.16
Koszalin,556,54.19,16.18
Grimma,555,51.24,12.73
Caputh,554,52.34,12.98
Soltau,554,52.99,9.84
Querfurt,551,51.38,11.60
Hšxter,549,51.77,9.38
Heiligenstadt,548,49.88,11.15
Ingolstadt,548,48.76,11.43
Emden,547,53.37,7.21
Nam Dinh,547,20.27,106.16
Wittstock/Dosse,544,53.16,12.49
Palermo,543,38.11,13.35
Rheine,543,52.28,7.44
Soest,543,51.57,8.11
Stockholm,543,59.33,18.07
Bad Oldesloe,542,53.81,10.37
Bursa,541,40.18,29.07
Pawlodar,541,52.28,76.96
BŸtzow,539,53.85,11.98
Vilnius,539,54.68,25.29
Prizren,536,42.21,20.74
Sonneberg,536,50.36,11.17
Wolmirstedt,536,52.25,11.63
Heide,535,54.19,9.09
Hilden,535,51.17,6.93
Iskenderun,535,36.62,36.27
Luxemburg,535,49.82,6.09
Moers,535,51.45,6.63
Tekman,533,39.61,41.44
SchneidemŸhl,531,53.15,16.74
GeorgsmarienhŸtte,530,52.20,8.05
Langenhagen,527,52.44,9.74
DŸren,525,50.80,6.48
Bad Oeynhausen,524,52.20,8.80
Barlinek,524,53.00,15.22
Chisinau,524,47.01,28.86
KŸstrin,523,52.59,14.65
Eskisehir,521,39.77,30.52
Ruse,521,43.85,25.95
Troisdorf,518,50.82,7.16
Schkeuditz,516,51.40,12.22
Meseritz,515,52.44,15.58
Torgelow,514,53.63,14.01
Linz,511,48.31,14.29
KšnigshŸtte,510,49.97,12.29
Amman,509,31.95,35.92
Innsbruck,509,47.27,11.39
Rosenheim,509,47.85,12.13
Malatya,506,38.48,38.10
FŸrstenberg/Havel,499,53.18,13.15
Tarsus,497,37.03,34.88
Salzburg,494,47.80,13.05
Tscheljabinsk,493,55.16,61.40
Helsinki,492,60.17,24.94
Schmalkalden,492,50.72,10.45
Sebnitz,490,50.97,14.27
Kempten (AllgŠu),488,47.73,10.32
Sindelfingen,488,48.71,9.00
Viersen,488,51.25,6.38
Meerane,487,50.85,12.47
Elmshorn,486,53.75,9.65
Werdau,486,50.74,12.38
Eschwege,485,51.19,10.06
Zlotow,485,53.36,17.03
Insterburg/Ostpreussen,480,39.78,-100.45
Kirsehir,480,39.15,34.16
Split,480,43.51,16.44
Douala,479,4.05,9.66
Elbing,479,54.16,19.40
BurgstŠdt,475,50.92,12.81
Pš§neck,473,50.69,11.60
Werneuchen,473,52.63,13.73
Jaffna,471,9.66,80.01
Rochlitz,471,51.05,12.80
Taipeh,471,25.04,121.56
Kumasi,470,6.70,-1.62
Beograd,469,44.82,20.46
Elbistan,469,38.33,37.33
Mittweida,468,50.99,12.98
Tyr,468,33.27,35.20
Marienberg,466,50.65,13.16
Midyat,466,37.37,41.38
Friedrichroda,463,50.86,10.56
Stadthagen,463,52.33,9.21
Casablanca,462,33.59,-7.62
Flatow/Pommern,462,39.78,-100.45
Friedberg (Hessen),462,50.34,8.76
Melbourne,462,-37.81,144.96
Sydney,461,-33.85,151.22
Leskovac,460,43.00,21.95
Leinefelde,459,51.39,10.32
Holzminden,456,51.83,9.45
Marl,456,49.74,3.77
Wesel,455,51.66,6.62
Aue,454,-24.78,134.76
GrŸnberg/Schlesien,453,51.94,15.50
Saigon,452,10.78,106.70
Thorn,452,53.02,18.62
DŸzce,451,40.84,31.16
Aalen,450,48.84,10.09
Dinslaken,450,51.56,6.73
Nizip,448,37.01,37.79
Gransee,445,53.01,13.16
Heidenheim an der Brenz,445,48.71,10.17
Castrop-Rauxel,444,51.56,7.31
Santiago de Chile,444,-33.44,-70.65
Memmingen,443,47.99,10.18
Wippra,442,51.57,11.22
Altentreptow,441,53.69,13.25
Mersin,437,36.81,34.63
Bacau,435,46.56,26.92
Bad Homburg v.d. Hšhe,435,39.78,-100.45
Dohna,434,50.96,13.86
Shandong,434,36.00,119.00
Swinoujscie,434,53.91,14.25
Toronto,434,43.65,-79.38
Turin,434,45.07,7.69
Constanta,432,44.17,28.62
Ho-Chi-Minh-Stadt,432,10.78,106.70
Yozgat,432,39.82,34.81
Bern,431,46.95,7.45
SchwŠbisch GmŸnd,431,48.80,9.80
Yaounde,430,3.87,11.52
Alexandria,429,31.20,29.89
LŸnen,429,51.61,7.52
Nabatie,429,39.78,-100.45
Akcaabat,428,41.02,39.57
Gryfino,427,53.25,14.49
Stra§burg,427,48.58,7.75
Pinneberg,421,53.66,9.80
Luanda,420,-8.83,13.24
Bad Segeberg,417,53.94,10.30
Aurich,415,53.47,7.48
Havanna,415,23.14,-82.37
Oslo,413,59.91,10.74
Bad Langensalza,412,51.11,10.65
Landau in der Pfalz,412,49.21,8.11
Targovishte,412,43.25,26.57
Kayseri,411,38.73,35.48
Gro§ršhrsdorf,409,51.15,14.02
Dahme/Mark,408,51.87,13.43
Amberg,407,49.45,11.86
Bad Harzburg,407,51.88,10.56
Cloppenburg,407,52.85,8.04
Lublin,406,51.25,22.57
Singen (Hohentwiel),406,47.76,8.83
Velbert,406,51.34,7.04
Glauchau,404,50.82,12.54
Sevilla,404,37.39,-6.00
Zvornik,401,44.39,19.10
Erzurum,400,39.76,41.40
Genf,397,46.20,6.15
Liebenwalde,397,52.87,13.39
MŸncheberg,395,52.50,14.14
Gorzow,394,50.08,19.23
Nairobi,394,-1.28,36.82
Provadia,394,43.17,27.39
Arnsberg,393,51.40,8.06
Heringsdorf,393,53.95,14.13
Hindenburg/Oberschlesien,392,39.78,-100.45
Jelenia G—ra,389,50.90,15.73
Ljubljana,386,46.05,14.51
Tallinn,386,59.44,24.75
Wetzlar,386,50.55,8.51
BŸckeburg,385,52.26,9.05
Hasaka,385,36.50,40.75
Torun,385,53.02,18.62
Zschopau,385,50.75,13.07
Pirmasens,382,49.20,7.61
Strasburg,381,48.58,7.75
Bad Frankenhausen/KyffhŠuser,380,51.36,11.10
Osterode am Harz,380,51.73,10.25
Zawia,379,39.78,-100.45
Rotenburg (WŸmme),378,53.11,9.40
Th‡i B“nh,378,20.45,106.34
IbbenbŸren,377,52.28,7.72
Barth,376,54.37,12.73
Johannesburg,376,-26.21,28.05
Lahore,376,31.56,74.32
Schleiz,376,50.58,11.81
Coesfeld,375,51.95,7.17
Gujrat,375,32.57,74.07
Schmšlln,375,50.90,12.35
Kuwait,374,29.27,47.50
Cayirli,373,39.80,40.04
Leonberg,372,48.80,9.01
Lyon,372,45.76,4.83
Bad Landeck,371,50.34,16.89
Neustadt (Dosse),371,52.86,12.44
Hohenmšlsen,370,51.16,12.10
Lingen (Ems),370,52.51,7.37
Nakhon Ratchasima,369,14.95,101.99
Passau,368,48.57,13.46
Hama,366,35.13,36.75
Tettnang,366,47.67,9.59
Walsrode,366,52.86,9.59
Novi Sad,365,45.26,19.85
†skŸdar,365,41.03,29.03
California,363,36.70,-118.76
Lahr/Schwarzwald,363,48.33,7.88
Dhaka,362,23.76,90.38
Backnang,361,48.95,9.43
Bakirkšy,360,40.98,28.87
Freudenstadt,360,48.46,8.41
Kustanai,360,53.21,63.63
Reichenberg,360,50.77,15.06
Slubice,360,52.35,14.56
Bad Pyrmont,359,51.99,9.24
Preetz,359,54.24,10.28
Warendorf,359,51.95,7.99
Washington,359,38.89,-77.04
BŸnde,358,52.20,8.58
Kikinda,358,45.83,20.46
Montreal,358,45.52,-73.59
Addis Abeba,357,9.00,38.75
Oelsnitz/Vogtl.,357,50.38,12.11
PŸlŸmŸr,357,39.46,39.97
Slupsk,355,54.46,17.03
Bruchsal,354,49.12,8.60
Oschersleben (Bode),354,52.03,11.23
Reinbek,353,53.51,10.25
Ust-Kamenogorsk,352,49.96,82.61
Woldegk,352,53.46,13.58
Buxtehude,350,53.48,9.70
Conakry,349,9.52,-13.70
Shiraz,348,29.61,52.54
Xanthi,348,41.14,24.89
Achim,347,53.02,9.02
Usak,346,38.68,29.40
Krasnojarsk,342,56.01,92.87
Denizli,341,37.77,29.09
Bocholt,339,51.84,6.61
Erlabrunn,339,49.86,9.84
Trabzon,339,41.01,39.73
Bad Mergentheim,338,49.49,9.77
Beckendorf-Neindorf,338,52.08,11.19
Debno,338,52.74,14.70
Zary,338,51.64,15.14
Crimmitschau,337,50.82,12.39
Eregli,337,37.51,34.05
Kamenz,337,51.27,14.09
Los Angeles,337,34.05,-118.24
Gro§-Gerau,335,49.92,8.47
Walbrzych,335,50.77,16.28
BŠrwalde/Neumark,334,52.79,14.50
Swiebodzin,334,52.25,15.53
Vechta,334,52.73,8.29
Gehrden,332,52.31,9.60
Haan,331,51.20,7.01
NŸrtingen,331,48.63,9.34
Cagliari,330,39.22,9.11
Homburg,328,47.76,7.51
Kleve,328,51.79,6.13
Mardin,327,37.34,40.75
Shumen,327,43.27,26.94
Yavuzeli,327,37.32,37.57
Lichtenstein,326,47.14,9.55
Nahr al-Bared,326,34.51,35.96
Rottweil,326,48.17,8.63
Ahlen,325,51.76,7.89
Kaunas,325,54.90,23.91
Kšslin,325,54.19,16.18
Mashhad,325,36.30,59.61
Gladbeck,324,51.57,6.99
Thanh Hoa,324,20.11,105.21
Einbeck,323,51.82,9.87
Bietigheim-Bissingen,321,48.95,9.14
Crossen an der Oder,321,52.05,15.10
Frunse,321,46.83,29.88
Reykjavik,321,64.15,-21.94
Straubing,321,48.88,12.57
Benghazi,319,32.12,20.07
Daraa,319,32.62,36.11
Omurtag,318,43.11,26.42
Herrenberg,317,48.60,8.87
Lich,316,50.52,8.82
Schwelm,316,51.28,7.29
RŸsselsheim,315,39.78,-100.45
Banja Luka,314,44.77,17.19
Benin-Stadt,314,6.33,5.62
Dannenberg (Elbe),314,53.10,11.10
GrŠfelfing,314,48.12,11.43
Tilsit,314,55.08,21.89
Tomsk,314,56.49,84.95
Henan,313,34.00,114.00
Sabac,313,44.75,19.69
Kaufbeuren,312,47.88,10.62
Nienburg/Weser,312,52.64,9.22
Rize,311,41.02,40.52
Sigmaringen,309,48.09,9.22
Rinteln,308,52.19,9.08
Waldenburg,308,48.75,7.20
Beuthen/Oberschlesien,307,39.78,-100.45
Bischofswerda,307,51.13,14.18
Storkow,307,52.25,13.93
Adapazari,306,40.78,30.40
Ansbach,306,49.30,10.57
Bad Nauheim,306,50.37,8.75
BrŸssel,306,50.84,4.37
Tuttlingen,306,47.98,8.82
Bratislava,305,48.14,17.16
Kaliningrad,304,54.71,20.51
Neuenhagen bei Berlin,304,52.53,13.69
Nordenham,304,53.50,8.48
Teltow,304,52.40,13.26
Senftenberg,303,51.52,14.00
Krusevac,302,43.38,17.11
Popovo,302,43.35,26.23
Skwierzyna,302,52.60,15.50
Udon Thani,302,17.46,102.84
Liaoning,301,41.00,123.00
Daugavpils,299,55.90,26.53
Klagenfurt,299,46.62,14.31
Hekimhan,298,38.81,37.98
Kielce,298,50.87,20.63
Kronach,298,50.24,11.33
Radeberg,298,51.12,13.92
Bialystok,297,53.13,23.16
Gro§ Schšnebeck,297,52.93,13.58
Konya,297,37.87,32.48
Dorsten,296,51.66,6.96
Ratingen,296,51.30,6.85
Buchholz in der Nordheide,295,53.33,9.87
Kars,295,40.61,43.10
Kulmbach,295,50.10,11.45
LŸbbecke,295,52.31,8.62
Manila,295,14.59,120.98
Slavonski Brod,295,45.17,18.01
Akcadag,294,38.37,37.85
Ordu,294,40.83,37.41
Bozen,293,46.50,11.35
Všlklingen,293,49.24,6.85
Aytos,292,42.70,27.25
Montevideo,292,-34.91,-56.19
Serres,292,42.95,2.32
Kirchheim unter Teck,291,48.65,9.45
Tercan,291,39.78,40.38
Konin,290,52.23,18.25
Brcko,289,44.88,18.81
Bad Soden am Taunus,288,50.14,8.51
Riad,288,24.63,46.72
Korbach,287,51.27,8.88
Meppen,287,52.69,7.29
Tabriz,286,38.08,46.29
Melle,285,44.56,7.32
Verden (Aller),284,52.94,9.24
Garmisch-Partenkirchen,283,47.49,11.10
Sorgun,282,39.81,35.19
Zeulenroda,282,50.65,11.98
